scenario,confluence,name,netcdf_name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
TO-DO,THSPH,thsph_ph_noref,thsph_ph_noref,PD2632,function,,float32,,1,-9999,Vent Fluid pH - Measured Chloride - No Reference AgCl,0,,PFID112,"{""counts_ysz"":""PD2260"",""temperature"":""PD2624"",""arr_agclref"":""CC_arr_agclref"",""e2l_ysz"":""CC_e2l_ysz"",""arr_hgo"":""CC_arr_hgo"",""arr_agcl"":""CC_arr_agcl"",""arr_tac"":""CC_arr_tac"",""arr_tbc1"":""CC_arr_tbc1"",""arr_tbc2"":""CC_arr_tbc2"",""arr_tbc3"":""CC_arr_tbc3"",""chl"":""PD966""}",THSPHPH-PH-NOREF,,THSPHPH-PH-NOREF_L2,"In-situ pH at high temperature location, using measured [Cl-] from TRHPH and a derived value for the AgCl electrode. Unitless.",,Science Data,L2
TO-DO,THSPH,thsph_ph_noref_acl,thsph_ph_noref_acl,PD2633,function,,float32,,1,-9999,Vent Fluid pH - Assumed Chloride - No Reference AgCl,0,,PFID113,"{""counts_ysz"":""PD2260"",""temperature"":""PD2624"",""arr_agclref"":""CC_arr_agclref"",""e2l_ysz"":""CC_e2l_ysz"",""arr_hgo"":""CC_arr_hgo"",""arr_agcl"":""CC_arr_agcl"",""arr_tac"":""CC_arr_tac"",""arr_tbc1"":""CC_arr_tbc1"",""arr_tbc2"":""CC_arr_tbc2"",""arr_tbc3"":""CC_arr_tbc3""}",THSPHPH-PH-NOREF-ACL,,THSPHPH-PH-NOREF-ACL_L2,"In-situ pH at high temperature location, using an assumed [Cl-] from a physical sample and a derived value for the AgCl electrode. Unitless.",,Science Data,L2
TO-DO,THSPH,thsph_sulfide,thsph_sulfide,PD2634,function,,float32,,mmol kg-1,-9999999,Hydrogen Sulfide Concentration,4,,PFID114,"{""counts_hs"":""PD2263"",""counts_ysz"":""PD2260"",""temperature"":""PD2624"",""e2l_hs"":""CC_e2l_hs"",""e2l_ysz"":""CC_e2l_ysz"",""arr_hgo"":""CC_arr_hgo"",""arr_logkfh2g"":""CC_arr_logkfh2g"",""arr_eh2sg"":""CC_arr_eh2sg"",""arr_yh2sg"":""CC_arr_yh2sg""}",THSPHHS,,THSPHHS-H2S_L2,,,Science Data,L2
TO-DO,THSPH,thsph_hydrogen,thsph_hydrogen,PD2635,function,,float32,,mmol kg-1,-9999999,Hydrogen Concentration,4,,PFID115,"{""counts_h2"":""PD2262"",""counts_ysz"":""PD2260"",""temperature"":""PD2624"",""e2l_h2"":""CC_e2l_h2"",""e2l_ysz"":""CC_e2l_ysz"",""arr_hgo"":""CC_arr_hgo"",""arr_logkfh2g"":""CC_arr_logkfh2g""}",THSPHHC,,THSPHHC-H2_L2,In-situ dissolved hydrogen concentration at the high temperature location.,,Science Data,L2
TO-DO,PHSEN,phsen_battery_volts,phsen_battery_volts,PD2636,function,,float32,,V,-9999999,Battery Voltage,4,,PFID98,"{""braw"":""PD358""}",,,,,,,
TO-DO,PARAD,parad_telbaud,parad_telbaud,PD2637,quantity,,int32,,bps,-9999999,Telemetry Baud Rate,,,,,,,,Telemetry baud rate,,,
TO-DO,PARAD,parad_maxrate,parad_maxrate,PD2638,quantity,,float32,,Hz,-9999999,Max Sampling Rate,3,,,,,,,Maximum sampling rate in Hz,,,
TO-DO,PARAD,parad_firmware,parad_firmware,PD2639,quantity,,string,,1,empty,Instrument Firmware,0,,,,,,,Instrument Firmware,,,
TO-DO,PARAD,parad_type,parad_type,PD2640,quantity,,string,,1,empty,Instrument Type,0,,,,,,,Instrument type,,,
TO-DO,,battery_number_uint8,battery_number_uint8,PD2641,quantity,,uint8,,1,0,Battery Number,0,,,,,,,Battery number. Usually 1 or 2,,,
TO-DO,,battery_voltage_flt32,battery_voltage_flt32,PD2642,quantity,,float32,,V,-9999999,Battery Voltage,3,,,,,,,Battery voltage.,,,
TO-DO,,gps_adjustment,gps_adjustment,PD2643,quantity,,int32,,1,-9999999,GPS Adjustment Value,0,,,,,,,GPS Adjustment Value,,,
TO-DO,,velocity_flt32,velocity_flt32,PD2644,quantity,,float32,,m s-1,-9999999,Velocity,3,,,,,,,"Velocity, m/s",,,
TO-DO,SPIKR,spkir_downwelling_vector,spkir_downwelling_vector,PD2645,function,"[""spectra""]",float32,,uW cm-2 nm-1,-9999999,Downwelling Spectral Irradiance,4,,PFID95,"{""counts"":""PD1093"",""offset"":""CC_offset"",""scale"":""CC_scale"",""immersion_factor"":""CC_immersion_factor""}",,,SPECTIR_L1,"Downwelling Spectral Irradiance is the measure of electromagnetic radiation per unit area received (i.e. incident) by a sensor within the seawater column. Downwelling spectral irradiance is calculated from measurements made across 7 specific- pre-defined wavebands as follows: 1 = 412nm, 2 = 443nm, 3 = 490nm, 4 = 510nm, 5 = 555nm, 6 = 620nm, 7 = 683nm.",Downwelling Spectral Irradiance,Science Data,L1
TO-DO,,encoder_counts,encoder_counts,PD2646,quantity,,int32,,counts,9999999,Encoder Counts,0,,,,,,,Keeps track of the net rotation done by the winch axle,,,
TO-DO,,current_flt32,current_flt32,PD2647,quantity,,float32,,A,-9999999,Winch Current,3,,,,,,,"Current drawn by the winch motor. Sign reflects direction of motor motion (+ is rope spooled on, - is rope spooled off)",,,
TO-DO,,winch_velocity,winch_velocity,PD2648,quantity,,float32,,counts s-1,-9999999,Winch Velocity,3,,,,,,,Winch encoder counts per second,,,
TO-DO,,voltage_flt32,voltage_flt32,PD2649,quantity,,float32,,V,-9999999,Winch Voltage,3,,,,,,,Voltage at the motor control module,,,
TO-DO,,rope_on_drum,rope_on_drum,PD2652,quantity,,float32,,m,-9999999,Rope on Drum,3,,,,,,,Amount of rope on the winch drum,,,
TO-DO,VADCP,vadcp_eastward_seawater_velocity,vadcp_eastward_seawater_velocity,PD2653,function,,float32,,m s-1,-9999999,Eastward Turbulent Seawater Velocity,4,,PFID121,"{""b1"":""PD869"",""b2"":""PD870"",""b3"":""PD871"",""b4"":""PD872"",""pg1"":""PD873"",""pg2"":""PD874"",""pg3"":""PD875"",""pg4"":""PD876"",""h"":""PD672"",""p"":""PD673"",""r"":""PD674"",""vf"":""PD617"",""lat"":""CC_lat"",""lon"":""CC_lon"",""dt"":""PD10""}",VELTURB-VLE,eastward_sea_water_velocity,VELTURB-VLE_L1,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the eastward seawater velocity component for which magnetic variation is accounted.,Eastward Turbulent Seawater Velocity Profile,Science Data,L1
TO-DO,VADCP,vadcp_northward_seawater_velocity,vadcp_northward_seawater_velocity,PD2654,function,,float32,,m s-1,-9999999,Northward Turbulent Seawater Velocity,4,,PFID122,"{""b1"":""PD869"",""b2"":""PD870"",""b3"":""PD871"",""b4"":""PD872"",""pg1"":""PD873"",""pg2"":""PD874"",""pg3"":""PD875"",""pg4"":""PD876"",""h"":""PD672"",""p"":""PD673"",""r"":""PD674"",""vf"":""PD617"",""lat"":""CC_lat"",""lon"":""CC_lon"",""dt"":""PD10""}",VELTURB-VLN,northward_sea_water_velocity,VELTURB-VLN_L1,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the northward seawater velocity component for which magnetic variation is accounted.,Northward Turbulent Seawater Velocity Profile,Science Data,L1
TO-DO,VADCP,vadcp_upward_seawater_velocity_est,vadcp_upward_seawater_velocity_est,PD2655,function,,float32,,m s-1,-9999999,Upward Turbulent Seawater Velocity - Estimated,4,,PFID123,"{""b1"":""PD869"",""b2"":""PD870"",""b3"":""PD871"",""b4"":""PD872"",""pg1"":""PD873"",""pg2"":""PD874"",""pg3"":""PD875"",""pg4"":""PD876"",""h"":""PD672"",""p"":""PD673"",""r"":""PD674"",""vf"":""PD617""}",VELTURB-W5,upward_sea_water_velocity,VELTURB-W5_L1,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the estimated upward seawater velocity component.,Upward Turbulent Seawater Velocity Profile - Estimated,Science Data,L1
TO-DO,VADCP,vadcp_upward_seawater_velocity_tru,vadcp_upward_seawater_velocity_tru,PD2656,function,,float32,,m s-1,-9999999,Upward Turbulent Seawater Velocity - True,4,,PFID124,"{""b1"":""PD869"",""b2"":""PD870"",""b3"":""PD871"",""b4"":""PD872"",""b5"":""PD869"",""pg1"":""PD873"",""pg2"":""PD874"",""pg3"":""PD875"",""pg4"":""PD876"",""h"":""PD672"",""p"":""PD673"",""r"":""PD674"",""vf"":""PD617""}",VELTURB-W5,upward_sea_water_velocity,VELTURB-W5_L1,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the true upward seawater velocity component.,Upward Turbulent Seawater Velocity Profile - True,Science Data,L1
TO-DO,VADCP,vadcp_beam_error,vadcp_beam_error,PD2657,function,,float32,,m s-1,-9999999,Error Turbulent Seawater Velocity,4,,PFID125,"{""b1"":""PD869"",""b2"":""PD870"",""b3"":""PD871"",""b4"":""PD872"",""pg1"":""PD873"",""pg2"":""PD874"",""pg3"":""PD875"",""pg4"":""PD876""}",VELTURB-ERR,,VELTURB-ERR_L1,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the error seawater velocity component.,Error Turbulent Seawater Velocity Profile,Science Data,L1
TO-DO,,hc_data,hc_data,PD2658,array<>,,,,,,,0,,,,,,,,,,
TO-DO,CAMDS,camds_pan_position,camds_pan_position,PD2659,quantity,,int8,,degrees,-99,Pan Position,,,,,,,,Pan,,,
TO-DO,CAMDS,camds_tilt_position,camds_tilt_position,PD2660,quantity,,int8,,degrees,-99,Tilt Position,,,,,,,,Tilt,,,
TO-DO,CAMDS,camds_focus_position,camds_focus_position,PD2661,quantity,,int8,,1,-99,Focus Position,,,,,,,,Focus,,,
TO-DO,CAMDS,camds_zoom_position,camds_zoom_position,PD2662,quantity,,int8,,1,-99,Zoom Position,,,,,,,,Zoom,,,
TO-DO,CAMDS,camds_iris_position,camds_iris_position,PD2663,quantity,,int8,,1,-99,Iris Position,,,,,,,,Iris,,,
TO-DO,CAMDS,camds_gain,camds_gain,PD2664,quantity,,int8,,1,-99,Gain,,,,,,,,Gain,,,
TO-DO,CAMDS,camds_resolution,camds_resolution,PD2665,quantity,,int8,,1,-99,Resolution,,,,,,,,"Image resolution as a divider of the full image resolution. Hex number to convert to string:
 0x1 = Full resolution
 0x2 = 1/2 Resolution
 0x4 = 1/4 Resolution
 0x8 = 1/8 Resolution",,,
TO-DO,CAMDS,camds_brightness,camds_brightness,PD2666,quantity,,int8,,1,-99,Brightness,,,,,,,,Brightness of the lamp 1-100.,,,
TO-DO,CAMDS,camds_temp,camds_temp,PD2667,quantity,,int8,,degrees_Celsius,-99,Temperature,,,,,,,,Temperature. Range is 0 to 80 degrees and there are no decimal places. Accuracy is +/- 1.0 degrees.,,,
TO-DO,CAMDS,camds_humidity,camds_humidity,PD2668,quantity,,int8,,percent,-99,Internal Humidity,,,,,,,,Digital still camera internal housing humidity reading,Internal Humidity,,
TO-DO,CAMDS,camds_error,camds_error,PD2669,quantity,,int8,,1,-99,Error,,,,,,,,"Error message. Error will have the following possibilities: 
 0x00 = No Error 
 0x01 = Camera Not connected 
 0x02 = I2C Error 
 
 Convert to string so that error text is provided to user rather than number.",,,
TO-DO,CAMDS,camds_disk_size,camds_disk_size,PD2670,quantity,,int16,,MB,-9999,Disk Size,,,,,,,,Size of disk in MB,,,
TO-DO,CAMDS,camds_disk_remaining,camds_disk_remaining,PD2671,quantity,,int8,,percent,-99,Disk Remaining,,,,,,,,Percentage of disk unused,,,
TO-DO,CAMDS,camds_images_remaining,camds_images_remaining,PD2672,quantity,,int16,,counts,-9999,Images Remaining,,,,,,,,Provides the storage of the disk in terms of the number of images remaining.,,,
TO-DO,CAMDS,camds_images_on_disk,camds_images_on_disk,PD2673,quantity,,int16,,counts,-9999,Images on Disk,,,,,,,,Number of images on disk,,,
TO-DO,ZPLSC,zplsc_connected,zplsc_connected,PD2674,boolean,,int8,,,-99,Connected,,,,,,,,Connected to a running ER60 instance?,,,
TO-DO,ZPLSC,zplsc_active_38k_mode,zplsc_active_38k_mode,PD2675,quantity,,string,,,empty,Active 38k Mode,,,,,,,,Transmit mode ('active' or 'passive'),,,
TO-DO,ZPLSC,zplsc_active_38k_power,zplsc_active_38k_power,PD2676,quantity,,float32,,W,-9999999,Active 38k Power,1,,,,,,,Transmit power in W (if active),,,
TO-DO,ZPLSC,zplsc_active_38k_pulse_length,zplsc_active_38k_pulse_length,PD2677,quantity,,float32,,sec,-9999999,Active 38k Pulse Length,6,,,,,,,Transmit pulse length in seconds,,,
TO-DO,ZPLSC,zplsc_active_38k_sample_interval,zplsc_active_38k_sample_interval,PD2678,quantity,,float32,,sec,-9999999,Active 38k Sample Interval,6,,,,,,,Sample interval in seconds,,,
TO-DO,ZPLSC,zplsc_active_120k_mode,zplsc_active_120k_mode,PD2679,quantity,,string,,,empty,Active 120k Mode,,,,,,,,Transmit mode ('active' or 'passive'),,,
TO-DO,ZPLSC,zplsc_active_120k_power,zplsc_active_120k_power,PD2680,quantity,,float32,,W,-9999999,Active 120k Power,1,,,,,,,Transmit power in W (if active),,,
TO-DO,ZPLSC,zplsc_active_120k_pulse_length,zplsc_active_120k_pulse_length,PD2681,quantity,,float32,,sec,-9999999,Active 120k Pulse Length,6,,,,,,,Transmit pulse length in seconds,,,
TO-DO,ZPLSC,zplsc_active_120k_sample_interval,zplsc_active_120k_sample_interval,PD2682,quantity,,float32,,sec,-9999999,Active 120k Sample Interval,6,,,,,,,Sample interval in seconds,,,
TO-DO,ZPLSC,zplsc_active_200k_mode,zplsc_active_200k_mode,PD2683,quantity,,string,,,empty,Active 200k Mode,,,,,,,,Transmit mode ('active' or 'passive'),,,
TO-DO,ZPLSC,zplsc_active_200k_power,zplsc_active_200k_power,PD2684,quantity,,float32,,W,-9999999,Active 200k Power,1,,,,,,,Transmit power in W (if active),,,
TO-DO,ZPLSC,zplsc_active_200k_pulse_length,zplsc_active_200k_pulse_length,PD2685,quantity,,float32,,sec,-9999999,Active 200k Pulse Length,6,,,,,,,Transmit pulse length in seconds,,,
TO-DO,ZPLSC,zplsc_active_200k_sample_interval,zplsc_active_200k_sample_interval,PD2686,quantity,,float32,,sec,-9999999,Active 200k Sample Interval,6,,,,,,,Sample interval in seconds,,,
TO-DO,ZPLSC,zplsc_current_utc_time,zplsc_current_utc_time,PD2687,quantity,,string,,,empty,Current UTC Time,,,,,,,,Current UTC time of instrument,,,
TO-DO,ZPLSC,zplsc_executable,zplsc_executable,PD2688,quantity,,string,,,empty,Executable,,,,,,,,Executable used to launch ER60,,,
TO-DO,ZPLSC,zplsc_fs_root,zplsc_fs_root,PD2689,quantity,,string,,,empty,FS Root,,,,,,,,Root directory where data/logs/configs are stored,,,
TO-DO,ZPLSC,zplsc_next_scheduled_interval,zplsc_next_scheduled_interval,PD2690,quantity,,string,,,empty,Next Scheduled Interval,,,,,,,,UTC time of next scheduled interval,,,
TO-DO,ZPLSC,zplsc_host,zplsc_host,PD2691,quantity,,string,,,empty,Host,,,,,,,,Host IP address,,,
TO-DO,ZPLSC,zplsc_pid,zplsc_pid,PD2692,quantity,,string,,,empty,Pid,,,,,,,,PID of running ER60 process,,,
TO-DO,ZPLSC,zplsc_port,zplsc_port,PD2693,quantity,,int16,,,-9999,Port,,,,,,,,The port that the management software uses to interact with the ER60 control software.,,,
TO-DO,ZPLSC,zplsc_current_raw_filename,zplsc_current_raw_filename,PD2694,quantity,,string,,,empty,Current Raw Filename,,,,,,,,File name of the current .raw file,,,
TO-DO,ZPLSC,zplsc_current_raw_filesize,zplsc_current_raw_filesize,PD2695,quantity,,int32,,bytes,-9999999,Current Raw Filesize,,,,,,,,File size of current .raw file,,,
TO-DO,ZPLSC,zplsc_file_path,zplsc_file_path,PD2696,quantity,,string,,,empty,File Path,,,,,,,,File storage path,,,
TO-DO,ZPLSC,zplsc_file_prefix,zplsc_file_prefix,PD2697,quantity,,string,,,empty,File Prefix,,,,,,,,Current file prefix,,,
TO-DO,ZPLSC,zplsc_max_file_size,zplsc_max_file_size,PD2698,quantity,,int32,,,-9999999,Max File Size,,,,,,,,Maximum file size (in Bytes),,,
TO-DO,ZPLSC,zplsc_sample_range,zplsc_sample_range,PD2699,quantity,,float32,,,-9999999,Sample Range,1,,,,,,,Recording range,,,
TO-DO,ZPLSC,zplsc_save_bottom,zplsc_save_bottom,PD2700,boolean,,int8,,,-99,Save Bottom,,,,,,,,Save bottom files?,,,
TO-DO,ZPLSC,zplsc_save_index,zplsc_save_index,PD2701,boolean,,int8,,,-99,Save Index,,,,,,,,Save index&nbsp;files?,,,
TO-DO,ZPLSC,zplsc_save_raw,zplsc_save_raw,PD2702,boolean,,int8,,,-99,Save Raw,,,,,,,,Save raw files?,,,
TO-DO,ZPLSC,zplsc_scheduled_intervals_remaining,zplsc_scheduled_intervals_remaining,PD2703,quantity,,int16,,,-9999,Scheduled Intervals Remaining,,,,,,,,Number of intervals remaining in running schedule,,,
TO-DO,ZPLSC,zplsc_gpts_enabled,zplsc_gpts_enabled,PD2704,boolean,,int8,,,-99,GPTS Enabled,,,,,,,,GPTs enabled? (powered on?),,,
TO-DO,ZPLSC,zplsc_schedule_filename,zplsc_schedule_filename,PD2705,quantity,,string,,,empty,Schedule Filename,,,,,,,,Filename for .yaml schedule file,,,
TO-DO,CAMDS,raw,raw,PD2706,binary,,,,,-9999999,Live Video,,,,,,,,"This parameter contains the live streaming video from CAMDS while the instrument in in Streaming, Framing, or Focusing mode.",,,
TO-DO,NUTNR-B,startup_time_string,startup_time_string,PD2707,quantity,,string,,1,empty,"Startup Time, UTC",0,,,,,,,Time ISUS was powered on (using Unix Epoch value),,,
TO-DO,PHSEN,ph_light_measurements,ph_light_measurements,PD2708,array<quantity>,,int16,,counts,-9999,Array of PH Light Measurements,0,,,,,,,Array of ph light measurements,,,
TO-DO,PRESF,dcl_controller_start_timestamp,dcl_controller_start_timestamp,PD2709,quantity,,string,,1,empty,DCL Controller Start Timestamp,0,,,,,,,"DCL controller timestamp at the first line of wave burst data record; marks the beginning of the line containing 'wave: start time'. ""yyyy/mm/dd hh:mm:ss.sss""* note space between dd and hh",,,
TO-DO,PRESF,dcl_controller_end_timestamp,dcl_controller_end_timestamp,PD2710,quantity,,string,,1,empty,DCL Controller End Timestamp,0,,,,,,,"DCL controller timestamp at the last line of wave burst data record; marks the beginning of the line containing 'wave: end burst'. ""yyyy/mm/dd hh:mm:ss.sss""* note space between dd and hh",,,
TO-DO,PCO2W,blank_light_measurements,blank_light_measurements,PD2712,array<quantity>,"[""spectrum""]",int16,,counts,-9999,Blank Light Measurements,0,,,,,,,Blank light measurements collected during calibration of the instrument. Measurements are in counts.,,,
TO-DO,TMPSF,temperature01,temperature01,PD2713,quantity,,float32,,degrees_Celsius,-9999999,Seawater Temperature in Spatial Grid 01,4,,,,,,,"Seawater Temperature in Spatial Grid 01 is temperature measured at 1 of 24 locations along the thermistor string that is positioned in a spatial array. The position of each thermistor is given in the metadata, using <x y z> coordinates in centimeters with an origin at the seafloor beneath thermistor #2.",Seawater Temperature in Spatial Grid 01,Science Data,L1
TO-DO,TMPSF,temperature02,temperature02,PD2714,quantity,,float32,,degrees_Celsius,-9999999,Seawater Temperature in Spatial Grid 02,4,,,,,,,"Seawater Temperature in Spatial Grid 02 is temperature measured at 1 of 24 locations along the thermistor string that is positioned in a spatial array. The position of each thermistor is given in the metadata, using <x y z> coordinates in centimeters with an origin at the seafloor beneath thermistor #2.",Seawater Temperature in Spatial Grid 02,Science Data,L1
TO-DO,TMPSF,temperature03,temperature03,PD2715,quantity,,float32,,degrees_Celsius,-9999999,Seawater Temperature in Spatial Grid 03,4,,,,,,,"Seawater Temperature in Spatial Grid 03 is temperature measured at 1 of 24 locations along the thermistor string that is positioned in a spatial array. The position of each thermistor is given in the metadata, using <x y z> coordinates in centimeters with an origin at the seafloor beneath thermistor #2.",Seawater Temperature in Spatial Grid 03,Science Data,L1
TO-DO,TMPSF,temperature04,temperature04,PD2716,quantity,,float32,,degrees_Celsius,-9999999,Seawater Temperature in Spatial Grid 04,4,,,,,,,"Seawater Temperature in Spatial Grid 04 is temperature measured at 1 of 24 locations along the thermistor string that is positioned in a spatial array. The position of each thermistor is given in the metadata, using <x y z> coordinates in centimeters with an origin at the seafloor beneath thermistor #2.",Seawater Temperature in Spatial Grid 04,Science Data,L1
TO-DO,TMPSF,temperature05,temperature05,PD2717,quantity,,float32,,degrees_Celsius,-9999999,Seawater Temperature in Spatial Grid 05,4,,,,,,,"Seawater Temperature in Spatial Grid 05 is temperature measured at 1 of 24 locations along the thermistor string that is positioned in a spatial array. The position of each thermistor is given in the metadata, using <x y z> coordinates in centimeters with an origin at the seafloor beneath thermistor #2.",Seawater Temperature in Spatial Grid 05,Science Data,L1
TO-DO,TMPSF,temperature06,temperature06,PD2718,quantity,,float32,,degrees_Celsius,-9999999,Seawater Temperature in Spatial Grid 06,4,,,,,,,"Seawater Temperature in Spatial Grid 06 is temperature measured at 1 of 24 locations along the thermistor string that is positioned in a spatial array. The position of each thermistor is given in the metadata, using <x y z> coordinates in centimeters with an origin at the seafloor beneath thermistor #2.",Seawater Temperature in Spatial Grid 06,Science Data,L1
